Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-31.1785,121.6775,AUS.WA.334537,15715,33000,17000,5000,1846,3369263434,842705219.7,2064780329,461777885.1,0,302233.6258,93630473.79,0.198333788,0,0,1969558248,0,1.00E-09,0,100,25,77%
-21.147,119.2055,AUS.WA.334568,19471,25000,17000,5000,1000,3012366407,1135954955,1251386743,625024709.2,0,409078.6722,103599552.4,0.2194509,0,0,1969558248,0,1.43E-09,0,100,25,68%
-24.6431,118.5873,AUS.WA.334629,22668,6000,17000,9000,1838,2600154902,1306453038,354245468.1,939456395.4,0,614874.2108,122358988,0.259188282,0,0,1969558248,0,2.96E-09,0,100,25,52%
-28.6691,116.3796,AUS.WA.336142,23027,6000,17000,9000,1835,2628485173,1308816524,396708357.1,922960292.6,0,604077.5115,121534152.1,0.257441064,0,0,1969558248,0,2.68E-09,0,100,25,53%
-28.9634,121.766,AUS.WA.336197,15922,34000,17000,5000,3864,3455190799,883763548.2,2130936248,440491003.1,0,288301.3615,91721299.71,0.194289659,0,0,1969558248,0,9.89E-10,0,100,25,78%
-27.2296,120.5417,AUS.WA.336234,16588,33000,17000,5000,1739,3292190718,936746728.9,1894927006,460516982.4,0,301408.365,93629969.45,0.19833272,0,0,1969558248,0,1.30E-09,0,100,25,77%
-31.1778,121.6783,AUS.WA.652961,15715,33000,17000,5000,1846,3369263434,842705219.7,2064780329,461777885.1,0,302233.6258,93630473.79,0.198333788,0,0,1969558248,0,1.00E-09,0,100,25,77%
-28.302,120.492,AUS.WA.652962,16661,34000,17000,5000,1014,3447889353,945494802.8,2050045587,452348963.6,0,296062.3967,93301555.51,0.197637054,0,0,1969558248,0,8.19E-10,0,100,25,77%
-31.2864,122.838,AUS.WA.652969,17102,33000,17000,5000,1056,3513763622,910952669,2135734678,467076275.2,0,305701.4221,94372381.37,0.199905342,0,0,1969558248,0,1.47E-09,0,100,25,76%
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466,1315969640,147833082.3,1082184744,0,708289.9148,135877660.1,0.287824359,0,0,1969558248,0,2.33E-09,0,100,25,45%
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093,1019039450,1868994679,457874964.8,0,299679.1644,93287026.32,0.197606277,0,0,1969558248,0,1.11E-09,0,100,25,77%
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553,918183341.4,1866190619,500960592.7,0,327878.7079,97735436.38,0.207029171,0,0,1969558248,0,1.41E-09,0,100,25,75%
-20.8684,116.8655,AUS.WA.335166,18082,28000,17000,5000,1006,2963021191,1074432074,1293654749,594934367.6,0,389384.5436,103029303,0.218242963,0,0,1969558248,0,1.32E-09,0,100,25,70%
-21.2035,119.2383,AUS.WA.335341,19662,26000,17000,5000,1000,3060740791,1147527978,1296783160,616429654.1,0,403453.2086,103587943.4,0.219426309,0,0,1969558248,0,1.25E-09,0,100,25,69%
-27.3105,120.5528,AUS.WA.335342,16497,33000,17000,5000,1009,3341458113,938639930.1,1946292734,456525448.6,0,298795.9061,93029353.36,0.197060458,0,0,1969558248,0,1.23E-09,0,100,25,77%
-28.4868,122.2385,AUS.WA.334147,16567,34000,17000,5000,5876,3487023669,927422719.3,2141045639,418555311,0,273944.4511,89775678.29,0.190168325,0,0,1969558248,0,9.09E-10,0,100,25,79%
-28.409,121.1478,AUS.WA.334181,22394,7000,17000,9000,1905,2629623335,1267953359,477795177,883874798.1,0,578496.0553,119111479.9,0.252309212,0,0,1969558248,0,3.74E-09,0,100,25,55%
-30.9106,121.7167,AUS.WA.334445,22396,6000,17000,8000,1602,2558824898,1208657669,411791973.9,938375255,0,614166.6044,122678873.5,0.259865883,0,0,1969558248,0,2.41E-09,0,100,25,52%
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011,957074817.6,1499712528,541108665.5,0,354155.6216,103956377.2,0.220206748,0,0,1969558248,0,9.55E-10,0,100,25,73%
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,0,632735.7914,123688424.4,0.262004375,0,0,1969558248,0,3.00E-09,0,100,25,51%
-20.5711,139.472,AUS.QLD.333688,17053,31000,17000,5000,1058,3151690676,978745370.3,1601748220,571197085.9,0,373848.4927,102690675.3,0.217525661,0,0,1969558248,0,1.32E-09,0,100,25,71%
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,0,296473.0014,92932860.5,0.196856061,0,0,1969558248,0,1.07E-09,0,100,25,77%
-21.5127,134.1564,AUS.NT.597284,16134,32000,17000,5000,1447,3310417720,926578114.6,1909939633,473899972.9,0,310167.5323,93708543.46,0.19849916,0,0,1969558248,0,1.27E-09,0,100,25,76%
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030127,1210935376,339835232,973259518.5,0,636998.3549,124254928.5,0.263204379,0,0,1969558248,0,3.18E-09,0,100,25,51%
-20.7759,140.0445,AUS.QLD.334400,22849,6000,17000,9000,1765,2622728505,1312965815,343672102.8,966090588,0,632306.2898,124236309.6,0.263164939,0,0,1969558248,0,3.08E-09,0,100,25,51%
-20.7216,139.4782,AUS.QLD.334462,16550,31000,17000,5000,5315,3116902914,939034957.7,1601748220,576119736.2,0,377070.3674,103012091.7,0.218206505,0,0,1969558248,0,1.32E-09,0,100,25,71%
-21.0446,139.9062,AUS.QLD.334660,16840,31000,17000,5000,6171,3151472965,957937020.9,1626458328,567077615.3,0,371152.2992,102408617.1,0.216928188,0,0,1969558248,0,1.57E-09,0,100,25,71%
-21.117,116.8296,AUS.WA.333387,18441,28000,17000,5000,1007,2978467647,1087108474,1293654749,597704423.4,0,391197.5451,103525327.5,0.219293672,0,0,1969558248,0,1.18E-09,0,100,25,70%
-20.7571,117.7045,AUS.WA.333525,19058,29000,17000,5000,1006,3048222772,1141539391,1312402115,594281265.9,0,388957.0885,104147617.9,0.220611845,0,0,1969558248,0,1.32E-09,0,100,25,70%
-17.3472,128.0235,AUS.WA.333595,22024,6000,17000,10000,1958,2474781985,1202786637,252568524.3,1019426823,0,667214.8556,129404934.8,0.274113437,0,0,1969558248,0,2.99E-09,0,100,25,48%
-19.7033,134.2407,AUS.NT.334173,20118,7000,17000,5000,1587,2495273007,1160196248,444416342,890660416.5,0,582937.2426,117375003.2,0.248630901,0,0,1969558248,0,2.82E-09,0,100,25,55%
-19.4354,134.0661,AUS.NT.334279,18427,33000,17000,5000,6924,3389597249,1066998297,1868994679,453604273.6,0,296883.997,93073052.42,0.197153024,0,0,1969558248,0,1.09E-09,0,100,25,77%
-19.7115,134.2901,AUS.NT.334637,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,0,296473.0014,92932860.5,0.196856061,0,0,1969558248,0,1.07E-09,0,100,25,77%
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,0,683395.7607,148065779.3,0.313641977,0,0,1969558248,0,2.90E-09,0,100,25,47%
-41.477,145.385,AUS.TAS.333707,31287,28000,17000,5000,1000,2543060564,1002812006,630540399.4,909708158.8,0,595403.9899,144991935.3,0.307130773,0,0,1969558248,0,2.09E-09,0,100,25,54%
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883396,1516460148,1059427069,712996178.5,0,466655.9988,133078192.6,0.281894356,0,0,1969558248,0,1.74E-09,0,100,25,64%
-41.8501,145.5144,AUS.TAS.333976,28218,33000,17000,5000,1000,2858695544,879133066.7,1263699696,715862782,0,468532.1908,126934369,0.268880134,0,0,1969558248,0,1.90E-09,0,100,25,64%
-41.5746,145.7221,AUS.TAS.334055,31178,28000,17000,5000,1000,2530385936,986376302.6,630540399.4,913469234.4,0,597865.6139,145345536.8,0.307879794,0,0,1969558248,0,1.69E-09,0,100,25,54%
-41.2245,148.0131,AUS.TAS.334077,21549,31000,17000,5000,1169,3419655722,787136698.1,2139979819,492539204.9,0,322366.9096,97214128.56,0.205924905,0,0,1969558248,0,9.09E-10,0,100,25,75%
-30.3934,121.652,AUS.WA.334649,16355,34000,17000,5000,1000,3480149696,885546134.8,2152770032,441833529.4,0,289180.045,92457812.05,0.195849785,0,0,1969558248,0,1.10E-09,0,100,25,78%
-20.8108,117.0665,AUS.WA.334705,18261,28000,17000,5000,1005,2980093654,1094185394,1293654749,592253509.9,0,387629.9223,102804031.7,0.217765779,0,0,1969558248,0,1.27E-09,0,100,25,70%
