Iteration,Objective Value,Parameters,Time (seconds)
347,0.298753419,"[42642, 21, 28960, 8511, 27321]",4093.222674
348,0.251335389,"[25142, 38, 21460, 6011, 20821]",4105.294651
349,0.25382001,"[20767, 25, 15835, 5386, 22446]",4117.494899
350,0.287185794,"[38267, 43, 23335, 7886, 28946]",4130.213683
351,0.285476271,"[29517, 16, 19585, 6636, 25696]",4142.219493
352,0.249309308,"[12017, 34, 27085, 9136, 19196]",4154.211301
353,0.299002181,"[11470, 23, 23569, 8276, 29556]",4165.480667
354,0.257482891,"[28970, 41, 16069, 5776, 23056]",4177.335749
355,0.276539341,"[37720, 15, 27319, 9526, 19806]",4189.027863
356,0.264144897,"[20220, 32, 19819, 7026, 26306]",4201.317
357,0.297160719,"[24595, 10, 17944, 6401, 24681]",4213.199378
358,0.26050778,"[42095, 28, 25444, 8901, 18181]",4225.357678
359,0.268230913,"[33345, 19, 21694, 5151, 21431]",4237.301341
360,0.275955785,"[15845, 37, 29194, 7651, 27931]",4249.509623
361,0.269246235,"[18032, 17, 20757, 9214, 22243]",4261.66259
362,0.286612745,"[35532, 34, 28257, 6714, 28743]",4273.969338
363,0.280638212,"[44282, 26, 17007, 7964, 25493]",4286.243188
364,0.251546167,"[26782, 43, 24507, 5464, 18993]",4298.593503
365,0.247611776,"[22407, 21, 26382, 6089, 17368]",4310.698887
366,0.270798896,"[39907, 39, 18882, 8589, 23868]",4322.99464
367,0.306191014,"[31157, 12, 22632, 7339, 27118]",4335.033223
368,0.245118716,"[13657, 30, 15132, 9839, 20618]",4347.090194
369,0.314331592,"[12563, 14, 28726, 5308, 26712]",4358.771537
370,0.252479525,"[30063, 31, 21226, 7808, 20212]",4370.164111
371,0.278885881,"[38813, 22, 24976, 6558, 23462]",4381.425104
372,0.272665956,"[21313, 40, 17476, 9058, 29962]",4393.440306
373,0.275858182,"[25688, 27, 19351, 9683, 28337]",4405.56594
374,0.276424842,"[43188, 44, 26851, 7183, 21837]",4418.110157
375,0.25587057,"[34438, 18, 15601, 8433, 18587]",4430.278516
376,0.262181836,"[16938, 35, 23101, 5933, 25087]",4442.596875
377,0.251701416,"[14751, 20, 16538, 7495, 19399]",4454.635559
378,0.273081423,"[32251, 38, 24038, 9995, 25899]",4467.036405
379,0.321403765,"[41001, 11, 20288, 6245, 29149]",4478.618477
380,0.260849237,"[23501, 29, 27788, 8745, 22649]",4490.27862
381,0.269301567,"[19126, 16, 25913, 8120, 21024]",4501.643909
382,0.277068947,"[36626, 33, 18413, 5620, 27524]",4513.46722
383,0.273614363,"[27876, 25, 29663, 9370, 24274]",4525.581874
384,0.244138987,"[10376, 42, 22163, 6870, 17774]",4538.309169
385,0.317549061,"[10513, 13, 26206, 8999, 24427]",4549.89847
386,0.242111393,"[28013, 30, 18706, 6499, 17927]",4561.571341
387,0.272947238,"[36763, 22, 29956, 7749, 21177]",4572.576074
388,0.269327407,"[19263, 39, 22456, 5249, 27677]",4584.012751
389,0.277532215,"[23638, 26, 16831, 5874, 29302]",4595.328606
390,0.275041024,"[41138, 44, 24331, 8374, 22802]",4607.229072
391,0.263435968,"[32388, 17, 20581, 7124, 19552]",4618.75561
392,0.269991178,"[14888, 35, 28081, 9624, 26052]",4630.404479
393,0.244610576,"[17075, 19, 19644, 8687, 17114]",4641.607463
394,0.270624706,"[34575, 37, 27144, 6187, 23614]",4652.907743
395,0.310955731,"[43325, 11, 15894, 9937, 26864]",4663.751834
396,0.252224782,"[25825, 28, 23394, 7437, 20364]",4674.656605
