Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,-14853.25273,683395.7607,0.347,51%,148065779.3,0.313641977,33000,2.23E-09,1969558248,24590696.42,0,1.13E-16,100,25,58%,
-41.477,145.385,AUS.TAS.333707,31287,28000,17000,5000,1000,2543060564,1002812006,630540399.4,909708158.8,-11285.0339,595403.9899,0.302,57%,144991935.3,0.307130773,29575,1.23E-09,1969558248,18533760.92,0,6.23E-17,100,25,64%,
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883396,1516460148,1059427069,712996178.5,-9347.519155,466655.9988,0.237,66%,133078192.6,0.281894356,25800,1.14E-09,1969558248,17702967.27,0,5.77E-17,100,25,78%,
-21.6784,140.4744,AUS.QLD.335458,16850,34000,17000,5000,5952,3299311226,968911934.9,1802026808,528372483,-40912.83568,345819.7901,0.176,75%,100999184.7,0.213942642,9975,1.30E-09,1969558248,16301390.05,0,6.58E-17,100,25,84%,
-20.625,140.6885,AUS.QLD.335574,22554,6000,17000,9000,1818,2608965960,1300246722,339794379.7,968924857.6,-16608.27046,634161.3193,0.322,54%,124081017.2,0.262835989,42000,2.02E-09,1969558248,32694295.51,0,1.03E-16,100,25,63%,
-20.7406,139.9112,AUS.QLD.335769,17042,31000,17000,5000,4856,3158215076,975507640.9,1603187603,579519831.8,-42648.73974,379295.7299,0.193,73%,103747730.2,0.219764779,10075,1.02E-09,1969558248,16848835.19,0,5.19E-17,100,25,82%,
-41.8501,145.5144,AUS.TAS.333976,28218,33000,17000,5000,1000,2858695544,879133066.7,1263699696,715862782,-10031.39533,468532.1908,0.238,66%,126934369,0.268880134,23250,1.39E-09,1969558248,14194174.05,0,7.04E-17,100,25,75%,
-41.5746,145.7221,AUS.TAS.334055,31178,28000,17000,5000,1000,2530385936,986376302.6,630540399.4,913469234.4,-11328.89661,597865.6139,0.304,57%,145345536.8,0.307879794,29575,1.18E-09,1969558248,18363130.73,0,6.00E-17,100,25,64%,
-41.2245,148.0131,AUS.TAS.334077,50000,28000,17000,5000,9023,4242894046,1826383947,1948972660,467537439.1,-38927.67912,306003.2539,0.155,78%,106127170.2,0.224805054,7250,1.05E-09,1969558248,11632303.63,0,5.31E-17,100,25,89%,
-19.6961,139.366,AUS.QLD.333779,22604,6000,17000,9000,1819,2564534297,1262186412,325987821.1,976360063.8,-18090.92475,639027.6617,0.324,54%,125584573.5,0.266020914,41825,2.15E-09,1969558248,33988516.38,0,1.09E-16,100,25,62%,
